Organization_Code,Payment_Type,Payment_Bank_Code,Business_Nature,Company_Type,Postcode,State,Collection_Period,Customer_value
"CCPLTHQ, CCPLTHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCTHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCTHQ, CCTHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCTHQ, ISKLHQ, ISKLHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCTHQ, ISKLHQ, CCTHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCTHQ, ISKLHQ, ISKLHQ, PROBHQ","Online Banking, Online Banking, Cheque, Cheque, Cheque, Cheque, Cheque, Cheque, Cash, Cash, Cash, Cash, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Cheque","MBB, MBB, PBB, PBB, PBB, PBB, nan, PBB, nan, nan, nan, nan, nan, PBB, UOB, PBB, PBB, PBB, nan, MBB, MBB, MBB, MBB, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, PBB",L,Sendirian Berhad (Private Limited Company),58200.0,KualaLumpur,116.0322580645161,2257.25469464622
"PROBHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, PROBHQ, CCTHQ, CCTHQ, CCTHQ, PROBHQ, PROBHQ, CCTHQ, CCTHQ, CCTHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCTHQ, ISKLHQ, PROBHQ, PROBHQ, CCTHQ, PROBHQ, PROBHQ, CCPLTHQ, PROBHQ, PROBHQ, PROBHQ, ISKLHQ, PROBHQ","Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Cash, Cash, Cash, Cash, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, MBB, MBB, MBB, UOB, UOB, nan, nan, nan, nan, nan, nan, nan, UOB, UOB, UOB, UOB, UOB, nan, nan, UOB, UOB, nan, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB",L,Sendirian Berhad (Private Limited Company),31400.0,Perak,152.1351351351351,1444.68750784683
"CCTHQ, ISKLHQ, CCPLTHQ, ISKLHQ, CCPLTHQ, ISKLHQ, ISKLHQ, CCPLTHQ, CCTHQ, CCPLTHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, ISKLHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, PROBHQ, CCPLTHQ, ISKLHQ, PROBHQ, CCPLTHQ, ISKLHQ, CCPLTHQ, PROBHQ, ISKLHQ, PROBHQ, CCPLTHQ, CCPLTHQ, ISKLHQ, PROBHQ, CCTHQ, CCPLTHQ, ISKLHQ, PROBHQ, ISKLHQ, CCPLTHQ, CCPLTHQ, ISKLHQ, ISKLHQ, PROBHQ, CCPLTHQ, ISKLHQ, ISKLHQ, PROBHQ, PROBHQ, CCPLTHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, PROBHQ, PROBHQ, PROBHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCPLTHQ, CCPLTHQ","Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, nan, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking","MBB, nan, MBB, nan, MBB, nan, nan, MBB, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, MBB, MBB, nan, RHB, MBB, nan, MBB, UOB, nan, PBB, MBB, MBB, nan, PBB, MBB, MBB, nan, UOB, nan, MBB, MBB, nan, nan, UOB, MBB, nan, nan, MBB, MBB, MBB, nan, nan, nan, nan, MBB, MBB, MBB, nan, nan, nan, nan, MBB, MBB, nan, nan, nan, nan, MBB, MBB",N,Sendirian Berhad (Private Limited Company),58200.0,KualaLumpur,156.8545454545454,1484.996869114877
"CCCRHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCTHQ, ISKLHQ, CCTHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCTHQ, CCTHQ, ISKLHQ, ISKLHQ, ISKLHQ","Online Banking, Cheque, Cheque, Cheque, Cash, Cash, Cash, Cheque, Cheque, Cheque, Cheque, Cheque, nan, Cheque, Cheque, Cheque, Cheque","MBB, MBB, MBB, MBB, nan, nan, nan, nan, nan, nan, nan, nan, nan, MBB, MBB, MBB, MBB",B,Sendirian Berhad (Private Limited Company),58200.0,KualaLumpur,116.1818181818182,3437.582328939108
"ISKLHQ, CCTHQ, CCTHQ, CCPLTHQ, CCTHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCTHQ","Online Banking, Online Banking, Cash, Cash, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking","MBB, MBB, nan, nan, MBB, nan, nan, nan, nan",N,Sendirian Berhad (Private Limited Company),10350.0,Penang,174.0,1476.934996861268
"ISKLHQ, ISKLHQ","Online Banking, Online Banking","nan, nan",M,Sendirian Berhad (Private Limited Company),81100.0,Johor,145.0,1170.583851224105
"ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCTHQ, ISKLHQ, CCTHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCTHQ, CCTHQ","Online Banking, Online Banking, Cash, Cash, Cash, Cash, Cash, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, nan, Online Banking","PBB, PBB, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, PBB",G,Sendirian Berhad (Private Limited Company),58200.0,KualaLumpur,10.0,2404.050306026365
"PROBHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCTHQ, PROBHQ, PROBHQ, CCPLTHQ, CCPLTHQ, CCTHQ, CCPLTHQ, CCTHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, PROBHQ, CCPLTHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, CCPLTHQ, PROBHQ, PROBHQ, CCPLTHQ, PROBHQ, CCPLTHQ, CCTHQ, CCTHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ","Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Cash, Cash, Cash, Cash, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, nan, nan, nan, nan, RHB, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, MBB, UOB, CIMB, MBB, CIMB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, nan, nan, nan",M,Sendirian Berhad (Private Limited Company),58200.0,KualaLumpur,183.6746987951807,6481.745291902072
"CCTHQ, CCTHQ, CCTHQ, CCTHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ, ISKLHQ","Cheque, Cheque, Cash, Cheque, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",L,Sendirian Berhad (Private Limited Company),58200.0,KualaLumpur,156.9166666666667,2205.728248587571
"PROBHQ, CCTHQ, CCPLTMLK, CCPLTMLK, CCPLTHQ, PROBHQ, CCPLTMLK, PROBHQ, CCTHQ, CCPLTMLK, ISKLHQ, ISKLHQ, PROBHQ, PROBHQ, CCPLTMLK, CCPLTMLK, ISKLHQ, CCTHQ, ISKLHQ, CCPLTHQ, PROBHQ, ISKLHQ, CCPLTMLK, PROBHQ, CCPLTMLK, PROBHQ, PROBHQ, PROBHQ, CCPLTMLK, CCPLTMLK, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCPLTMLK, PROBHQ, CCPLTMLK, CCPLTMLK, CCPLTMLK, CCPLTMLK, PROBHQ, PROBHQ, CCPLTMLK, PROBHQ, CCPLTMLK, CCPLTMLK, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCPLTMLK, CCPLTHQ, CCPLTMLK, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCTHQ, CCPLTMLK, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, PROBHQ, CCPLTMLK, PROBHQ, ISKLHQ, CCPLTMLK, CCPLTMLK, CCPLTMLK, PROBHQ, CCPLTHQ, CCPLTHQ, CCPLTHQ, CCPLTMLK, ISKLHQ","Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Cash, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking, Online Banking","nan, nan, MBB, MBB, MBB, nan, MBB, MBB, MBB, MBB, nan, nan, nan, nan, MBB, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, MBB, UOB, UOB, PBB, MBB, RHB, MBB, MBB, MBB, MBB, PBB, PBB, MBB, RHB, MBB, MBB, CIMB, PBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, MBB, nan, nan, MBB, MBB, nan, nan, nan, nan, nan, nan",M,Sendirian Berhad (Private Limited Company),58200.0,KualaLumpur,169.3595505617978,2904.692572975518
